지점코드,사업장명,도로명전체주소,소재지전화,좌표정보y(epsg5174),좌표정보x(epsg5174)
29,서울동물병원,경상남도 고성군 고성읍 남포로 75-3,055-673-8875,164233.9778,320498.7587
30,현대동물병원(출장진료전문병원),경상남도 함양군 함양읍 함양로 1182-1,055-963-4569,225182.7285,266044.6187
31,이수의과동물병원(출장진료전문),경상남도 함양군 안의면 종로길 11-6,,236772.1626,273607.52
32,진동물병원(출장전문),"경상남도 함양군 함양읍 용평5길 37, 진동물병원",,224380.9957,266101.2203
33,신성가축병원,경상남도 함양군 함양읍 중앙시장길 17 (신성가축병원),055-964-0095,224480.7461,266159.2732
34,형제동물병원(출장진료전문),경상남도 함양군 함양읍 돌북1길 27,,224340.5635,265394.1243
35,함양동물병원,"경상남도 함양군 함양읍 용평중앙길 43, 1층 105호",559638875,224642.317,266266.294
36,새마을동물병원,충청남도 예산군 예산읍 예산로 31,,353839.4855,184736.6595
37,김태오 동물병원,충청남도 예산군 덕산면 예덕로 8,,355985.5084,170392.0497
38,흙 동물병원,충청남도 예산군 예산읍 아리랑로 236,,353319.4763,186713.063
39,중앙 동물병원,충청남도 예산군 고덕면 고덕중앙로 86,,360641.3745,173351.3811
40,예산 동물병원,충청남도 예산군 예산읍 역전로 51,,353622.0069,184653.0123
41,한솔가축병원,충청남도 예산군 삽교읍 충의로 170,,354892.3642,171951.1551
42,협동동물병원,충청남도 예산군 예산읍 사직로 24,,353383.2155,186386.2272
43,강이동물병원,충청남도 예산군 광시면 예당로 190 (104호),,338956.6944,179870.3116
44,천안축산업협동조합 부설동물병원,충청남도 천안시 동남구 청수11로 12 (청당동),520-6370,364583.4964,213642.1509
45,우리동물병원,충청남도 천안시 서북구 쌍용대로 51 (쌍용동),571-9318,366747.8646,211655.1828
46,장원동물병원(출장진료전문 동물병원),충청남도 천안시 동남구 충무로 475 (원성동),567-4723,366400.0683,214028.6888
47,하나동물병원,충청남도 천안시 서북구 성환읍 매주4길 20,582-9600,378909.7904,211329.8702
48,그림동물병원,충청남도 천안시 동남구 대흥로 320 (성황동),041-568-7277,368329.0298,213381.4239
49,에니펫동물병원,충청남도 천안시 동남구 터미널2로 8 (신부동),523-0275,368702.7321,214070.5226
50,펫프렌즈동물병원,"충청남도 천안시 서북구 두정로 203 (두정동,주차빌딩101)",568-7533,370290.6283,212382.92
51,김수영 동물병원,"충청남도 천안시 서북구 월봉로 85, 쌍용메디칼 (쌍용동)",572-8275,366337.75,210450.43
52,충남야생동물구조센터,충청남도 예산군 예산읍 대학로 54 (공주대학교 산업과학대학 내),041-334-1666,352103.7718,187383.6021
53,KU건국동물병원,충청남도 예산군 예산읍 벚꽃로 153,335-1023,354781.8455,185301.4694
54,마일스톤피그클리닉(출장진료전문),충청남도 예산군 삽교읍 신촌길 11-12,,352895.4325,170788.203
55,고려동물병원,충청남도 천안시 동남구 중앙로 281-2 (신부동),041-557-8575,369125.2048,213530.0613
56,서현동물병원,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트 상가 지하1층 2호)",,365554.803,213872.4173
57,다산동물병원,"충청남도 천안시 동남구 청수로 98 (청수동, 청솔LG아파트 상가 지하1층1호)",544-8834,365624.3428,214004.6337
58,가온동물병원,"충청남도 천안시 동남구 남부대로 344, 1층 (청당동)",553-5534,364402.1311,213772.1917
59,서일동물병원,충청남도 천안시 동남구 충절로 437 (삼룡동),041-551-5659,364669.5698,215243.0551
60,유일동물병원(산업동물에 대한 출장진료를 전문으로 함.),충청남도 천안시 동남구 풍세로 614 (신방동),041-565-5297,362966.6207,211746.4372
61,태성동물병원,충청남도 천안시 서북구 성환읍 성환1로 275,,379760.9246,211285.2078
62,나음동물병원,충청남도 천안시 동남구 통정10로 33-10 (신방동),578-4575,363608.4394,211727.7192
63,다솜동물병원,"충청남도 천안시 동남구 수곡2길 8-3, 이화빌딩 (신방동)",579-8252,365298.7908,211392.4156
64,치유동물병원,"충청남도 천안시 동남구 봉정로 6, 2층 (봉명동)",041-900-7582,366828.811,212375.3666
65,다나동물병원(산업동물에 대한 출장진료를 전문으로 함.),"충청남도 천안시 동남구 병천면 아우내장터2길 2, 102호",,362176.2631,226243.9621
66,서울88동물의료원,충청남도 천안시 동남구 충절로 35 (신부동),041-557-8275,368281.3597,214080.0302
67,늘푸른동물병원두정의료센터,충청남도 천안시 서북구 쌍용대로 317 (성정동),041-579-7582,369320.5177,212153.4223
68,중앙동물병원,충청남도 천안시 동남구 원거리7길 2 (원성동),041-555-7575,366407.4517,213653.0927
69,녹십자,충청남도 천안시 동남구 대흥로 94-1 (영성동),041-551-5989,366449.864,213488.8726
70,천안공주낙농축산업협동조합부설동물병원,충청남도 천안시 서북구 성환읍 성환1로 116,581-7547,378146.8609,211460.3702
71,대전충남 양돈축산업협동조합 부설동물병원,충청남도 천안시 동남구 차돌로 50 (다가동),570-1378,366602.9495,212078.5592
72,동물병원닥터스,"충청남도 천안시 서북구 불당7길 25, 1층 (불당동)",,366866.6218,209927.0468
73,한일동물병원,충청북도 제천시 의병대로 55-3 (명동),043-643-3037,404632.4359,307181.4996
74,명진동물병원,충청북도 제천시 원뜰로 34 (하소동),645-8272,404161.0378,306117.8587
75,제천 그레이스 동물병원,"충청북도 제천시 죽하로 5, 1층 (장락동)",043-652-7582,406307.409,308529.8452
76,삼성가축병원,충청북도 음성군 삼성면 대성로 613,,390864.4085,244274.7666
77,음성동물병원,충청북도 음성군 음성읍 중앙로 142,043-872-2262,381890.9689,261397.6603
78,금왕동물병원,충청북도 음성군 금왕읍 대금로 1498,,387675.4135,253207.8474
79,남영가축병원 (출장진료전문병원),충청북도 음성군 음성읍 중앙로40번길 24,872-7747,380889.085,261590.5758
80,현대동물병원,,,387478.1782,252457.8076
81,반석가금진료연구소,충청북도 음성군 대소면 대금로54번길 8,043-535-6426,387198.3034,240160.0964
82,전동물병원 (출장진료전문병원),"충청북도 음성군 대소면 대금로 822, A단지 나동 104호 (대왕하이텍공구타운A단지)",,386315.267,246798.5507
83,대소동물병원,충청북도 음성군 대소면 대금로 502,438837511,385135.8415,243886.2011
84,그린벨동물의료센터,"충청북도 음성군 맹동면 대하1길 4, 위너스타워 2층 205, 206호",043-882-7975,378611.4112,248149.3503
85,음성축산업협동조합 동물병원,충청북도 음성군 음성읍 시장로 99,873-9303,381860.5808,261585.1626
86,진주동물병원(출장진료전문병원),충청북도 제천시 의림대로15길 24 (중앙로2가),043-647-6100,404885.9124,307432.5986
87,바우미우동물병원,"서울특별시 중구 다산로 175, 명덕빌딩 (신당동)",2237-3366,450779.721,201064.9637
88,황동물병원,서울특별시 중구 퇴계로 254-1 (묵정동),2278-0075,451121.3448,199930.8583
89,서울종합동물병원,서울특별시 성북구 보문로 137 (보문동2가),928-5599,453866.557,201537.5976
90,대학동물병원,"서울특별시 성북구 화랑로 299, 2층 210호 (장위동, 석계역 한일노벨리아시티)",918-3344,456806.4324,205326.1448
91,강북동물병원,서울특별시 성북구 종암로 65 (종암동),924-4555,454877.3496,203035.964
92,스머프동물병원,서울특별시 은평구 백련산로 145 (응암동),02-969-7582,455100.9551,193315.1172
93,다루동물병원,"서울특별시 은평구 불광로 60, 1층 (불광동)",02-356-8353,456673.8056,193936.1257
94,도담동물병원,서울특별시 은평구 역말로 7 (역촌동),02-388-0275,455936.9704,192084.6798
95,미래동물병원,서울특별시 은평구 서오릉로 192 (갈현동),386-6092,456830.5284,192190.2663
96,더독동물병원,서울특별시 은평구 서오릉로 140 (대조동),382-3243,456562.1634,192656.3021
97,오렌지동물병원,서울특별시 성동구 행당로8길 41-2 (행당동),02-2297-7582,450419.387,202931.7899
98,남서울동물병원,서울특별시 서초구 방배로34길 12 (방배동),02-582-2186,443359.706,199192.1512
99,서초동물병원,서울특별시 서초구 효령로57길 4 (서초동),582-2357,442585.4812,201437.4779
100,아델 동물병원,"서울특별시 서초구 반포대로 45, 1층 (서초동, 명성빌딩)",522-0222,442481.6826,200886.0325
101,동물제중원금손이 동물병원,"서울특별시 서초구 서초대로 124, 101호 (방배동, 선빌딩)",581-5500,442879.1893,199582.595
102,다니엘동물병원,"서울특별시 서초구 효령로 214, 삼양빌딩 2층 (서초동)",02-585-0087,442325.9223,200612.4018
103,우신동물병원,서울특별시 양천구 중앙로 295 (신월동),2693-8883,446714.2758,186794.8421
104,강현림 종합동물병원,서울특별시 양천구 등촌로 160 (목동),2642-9159,449099.4068,187774.0762
105,해성동물병원,서울특별시 양천구 은행정로 10 (신정동),02-2651-9953,446497.5845,187566.1085
106,두리종합동물병원,"서울특별시 서초구 반포대로 287, 래미안퍼스티지 중심상가 1층 147,148호 (반포동)",02-3476-7522,444680.5217,200005.6264
107,디아나동물병원,"서울특별시 서초구 방배로 119, 1층 (방배동)",25219010,442495.9495,199509.9016
108,이상록동물병원,"서울특별시 서초구 나루터로 37, 신사쇼핑센터 1층 102-2호 (잠원동)",02-533-5505,445992.4593,201230.6934
109,햇살동물병원,서울특별시 양천구 월정로 46 (신월동),2690-5673,446855.11,185992.295
110,제인동물병원,서울특별시 성동구 뚝섬로 395 (성수동2가),02-468-7582,448534.1138,204763.8077
111,Dr.윤 동물의료센터,"서울특별시 은평구 통일로 767, 401동 1층 108호 (대조동, 베르디움STAY1)",02-359-2020,,
112,한빛동물병원,서울특별시 성동구 금호산길 58(금호동2가),02-2233-1848,450119.5081,201657.9263
113,아지동물병원,"서울특별시 성동구 독서당로 289 (금호동4가,지상1층)",02-6085-7750,449530.7077,201790.1175
114,24시센트럴동물메디컬센터,서울특별시 성동구 고산자로 207 (행당동),02-3395-7975,450712.0867,202907.2189
115,리더스 동물병원,"서울특별시 양천구 신목로 80, 신정동빌딩 (신정동)",02-2652-5475,446633.6155,188828.5448
116,오석헌동물병원,"서울특별시 성동구 매봉길 13, 1층 420호 (옥수동, 래미안옥수리버젠상가)",02-6402-0301,449188.9705,201153.9816
117,뉴타운동물병원,"서울특별시 은평구 진관3로 70 (진관동, 상림마을 821동 101호)",385-8275,459986.856,193103.4271
118,24시스마트동물메디컬센터,서울특별시 은평구 은평로 93 (응암동),02-387-7582,455276.7291,192700.3776
119,유림동물안과병원,"서울특별시 서초구 강남대로 631, 1층 (잠원동, 크레신타워)",593-1045,446206.3549,201565.9572
120,서울우유협동조합유우진료소,서울특별시 중랑구 중랑천로 71 (상봉동),2094-8344,454381.7629,206321.9193
121,펫365동물병원,서울특별시 성동구 독서당로 328 (금호동4가),2282-3653,449516.5209,202164.8202
122,민병철동물병원,서울특별시 양천구 남부순환로 347 (신월동),2695-1231,448229.827,184767.7296
123,옥수수 동물병원,"서울특별시 성동구 독서당로40길 39, 어울림상가 301~304호 (옥수동)",02-2291-7582,448894.7552,201538.0561
124,쿨펫이마트 목동점 동물병원,"서울특별시 양천구 오목로 299, 목동트라팰리스 (목동)",2645-2727,447091.856,188472.7592
125,둘레길동물병원,"서울특별시 은평구 연서로 317 (불광동, 동윤빌딩)",02-354-7544,457936.9948,193547.6806
126,개와냥이동물병원,"서울특별시 은평구 통일로 727-5, 2층 (대조동)",02-352-7275,456432.9936,193680.5647
127,참좋은동물병원,서울특별시 은평구 백련산로 29 (응암동),02-3152-0075,453992.5637,193081.8522
128,메디펫동물병원,서울특별시 은평구 통일로 885 (갈현동),02-384-0075,457740.6732,192825.7957
129,윤신근박사동물병원,서울특별시 중구 퇴계로 226 (필동2가),2274-8558,451038.8914,199652.5966
130,노아동물병원,서울특별시 양천구 목동동로10길 6 (신정동),226546183,446254.4703,188498.8896
131,양천종합동물병원,서울특별시 양천구 오목로 45 (신월동),2607-0022,446684.7216,186019.5568
132,한수24시동물병원,"서울특별시 은평구 증산로 267, 103호 (증산동)",306-8575,453281.9651,191719.6419
133,로얄동물병원,서울특별시 은평구 연서로 137 (구산동),354-0975,456538.9227,192584.6394
134,교대동물병원,"서울특별시 서초구 서초대로 325 (서초동,지상1층)",596-1175,443641.2975,201436.6463
135,필동물종합병원,서울특별시 양천구 등촌로 16 (목동),2649-0774,447697.3416,187920.9605
136,반포자이동물병원,서울특별시 서초구 사평대로45길 10-25 (반포동),02-3476-3535,444940.18,201162.735
137,하나동물병원,"서울특별시 서초구 헌릉로8길 10-12, 1층 3호 (신원동, 힐스테이트서초잰트리스)",02-574-0511,439329.1695,204997.1628
138,가나종합동물병원,"서울특별시 양천구 목동서로 77, 현대월드타워 160호 (목동)",2645-7588,448200.0677,189151.208
139,바라봄동물병원,"서울특별시 성동구 왕십리로 410, 127동 지하층 030호 (하왕십리동, 센트라스)",02-2297-9300,451536.6809,202372.912
140,담은동물병원,"서울특별시 은평구 통일로 796, 상가동 지하2층 128호, 지하1층 228호 (불광동, 북한산 힐스테이트7차)",02-356-9475,457135.2177,193457.6985
141,신정 동물병원,"서울특별시 양천구 오목로 198-1 (신정동,1층)",2697-7576,447012.9668,187507.5025
142,토론토 동물병원,"서울특별시 양천구 등촌로 172, 등촌빌딩 A동 102호 (목동)",2642-8653,449204.6352,187788.8226
143,달링동물병원,"서울특별시 성동구 왕십리로 16 (성수동1가, 트리마제)",02-466-8215,448508.756,203911.5131
144,바른동물병원,"서울특별시 중구 퇴계로 447, 1층 131호 (황학동, 황학 아크로타워)",02-2232-7975,451543.3378,201866.0395
145,오거리동물병원,"서울특별시 은평구 가좌로 239, 2층 (응암동, 스타이루)",02-306-0158,454279.7008,192509.1149
146,LOVE MY PET 동물병원,서울특별시 은평구 은평로 208 (응암동),382-7582,455415.9791,193814.0712
147,이리온 양재점,"서울특별시 서초구 매헌로 16, 지하1층 (양재동, 이마트 양재점)",577-6125,440136.7812,203204.7556
148,꿈꾸는 동물병원,"서울특별시 서초구 서초중앙로 224, 129호 (반포동)",592-0202,444376.5329,201100.601
149,에이블 동물병원,서울특별시 서초구 바우뫼로 211 (양재동),2058-1882,442081.7738,203615.7106
150,포레동물병원,"서울특별시 성동구 상원길 59, 쌍용아파트상가B동 107호 (성수동1가)",02-468-7975,449695.0841,204093.3963
151,서이동물병원,"서울특별시 서초구 사임당로 139, 104호 (서초동)",3472-8275,443285.6812,202128.627
152,우면동물병원,"서울특별시 서초구 바우뫼로7길 8, 201호 (우면동,우면세신상가)",02-578-7572,440963.7591,202175.0111
153,왕십리조은동물병원,서울특별시 성동구 왕십리로 381 (하왕십리동),02-2297-0075,451365.3262,202393.4573
154,페토브 동물병원,"서울특별시 양천구 목동동로 130, 117, 118호 (신정동, 목동신시가지아파트14단지)",2642-1239,446003.9412,188467.2154
155,24시 서울 탑 동물병원,"서울특별시 양천구 중앙로 237, 1층 (신정동)",02-2601-8875,446176.8104,186990.0704
156,수동물병원,서울특별시 서초구 방배중앙로 149 (방배동),534-9773,443365.9223,198732.246
157,내방동물병원,"서울특별시 서초구 서초대로 108, 2층 (방배동)",3473-8274,442807.5884,199410.8814
158,스테이동물병원,"서울특별시 성동구 매봉길 50 (옥수동, 이편한세상옥수파크힐스)",02-2282-7501,449563.28,201157.8773
159,신반포종합동물병원,서울특별시 서초구 서초중앙로 245 (반포동),02-537-0075,444571.1061,200884.6246
160,두암동물병원,"서울특별시 양천구 목동중앙북로 73, 덕수프라자 2층 (목동)",8464597,449409.1436,188563.7467
161,24시예스동물병원,"서울특별시 서초구 잠원로 24 (반포동,반포자이프라자 133호)",534-3475,444989.8743,200800.417
162,우리동물병원,서울특별시 서대문구 통일로 197 (영천동),393-6675,452071.4345,196510.5597
163,빛가온동물병원,서울특별시 서대문구 통일로 375 (홍제동),736-5834,453470.4562,195452.2393
164,레스펫동물병원,"서울특별시 서초구 논현로 173, 동리빌딩 1층 (양재동)",02-575-0855,442526.9614,203580.2973
165,파리스동물병원,"서울특별시 양천구 목동서로 100, 상가동 105, 204호 (목동, 목동신시가지아파트3단지)",2644-8878,448020.091,188700.8512
166,구름동물병원,"서울특별시 양천구 신정이펜2로 22, 203호 (신정동, 신정프라자)",2694-8275,445643.8741,185125.9577
167,밀리언동물병원,서울특별시 양천구 신월로 320 (신정동),02-2061-5277,446575.5016,187241.6411
168,VIP동물의료센터 서초동작점,"서울특별시 서초구 동작대로 36, 1,2층 (방배동, 대광빌딩)",02-525-3102,441943.105,198351.955
169,이윤세동물병원,"서울특별시 성동구 행당로 76, 한진노변상가 1,2층 108호109호203호 (행당동)",02-2282-7503,450401.3037,202511.1429
170,한양동물메디컬센터,서울특별시 성동구 왕십리로 282 (행당동),02-2281-5200,450821.2166,203200.7713
171,백슬동물병원,"서울특별시 중구 만리재로 175, 지하1층 401-1호 (만리동2가, 서울역센트럴자이)",02-393-7588,450217.0951,196697.1169
172,혜인종합 동물병원,"서울특별시 양천구 등촌로 218, 혜인빌딩 (목동)",2645-1475,449662.9091,187903.9895
173,다온동물병원,서울특별시 양천구 중앙로 230 (신정동),02-2643-8204,446116.6293,187079.3751
174,야옹동물병원,"서울특별시 은평구 증산로 413, 동현빌딩 1층 (신사동)",354-0087,454552.5072,192318.3838
175,신세계 동물병원,"서울특별시 서초구 반포대로 287, 래미안퍼스티지 중심상가 1층 143호 (반포동)",537-7412,444680.5217,200005.6264
176,서울햇빛동물병원,"서울특별시 은평구 진관2로 67, 202동 B층 01호 (진관동, 은평뉴타운우물골아파트)",02-387-8275,459138.862,193270.9124
177,서래동물병원,서울특별시 서초구 서래로 38 (반포동),02-6052-8275,444016.5384,199799.7908
178,한빛동물병원,"서울특별시 은평구 진관4로 87, 629동 116호 (진관동, 은평뉴타운상림마을)",382-7511,460623.3708,193651.2027
179,심바동물병원,"서울특별시 서초구 서초대로4길 4, 대진빌딩 1층 (방배동)",02-523-0275,442586.3005,198622.4594
180,해뜨는 동물병원 해질녘책방,"서울특별시 서초구 신반포로 257, 뉴타운 지하1층 (잠원동)",25366469,445266.6786,201104.269
181,닥터 아이펫 동물병원,"서울특별시 중랑구 망우로 315, 2층 (상봉동)",2208-0329,454993.6576,207655.2911
182,행복이 있는 동물병원,"서울특별시 중랑구 봉화산로 232, B동 1층 (신내동)",02-433-3387,456169.8718,208614.4356
183,보담동물병원,"서울특별시 중랑구 용마산로 434 (면목동, 청파빌딩)",02-494-7775,454186.6969,208533.1652
184,금호동물병원,"서울특별시 성동구 금호로 105, 비201호 (금호동2가, 래미안하이리버 상가동)",222810049,449891.9722,202098.9794
185,오라고동물병원,"서울특별시 양천구 공항대로 552 (목동, 대우마이빌 102호)",2643-7579,449701.8026,188169.1801
186,팜랜드동물병원,"서울특별시 양천구 목동중앙서로 42, 1층 (목동)",6348-1982,447851.7394,188306.4323
187,대현동물병원,"서울특별시 양천구 목동중앙본로 100, 101호 (목동)",2651-1855,449143.102,188520.9024
188,서서울호수동물병원,"서울특별시 양천구 남부순환로 421, 1층 (신월동)",6959-8448,447574.3646,185117.7946
189,바른동물병원,"서울특별시 성동구 독서당로 270, 상가동 2층 206호 (금호동4가, 금호동 대우아파트)",02-2297-7570,449301.4515,201669.8036
190,기린동물병원,서울특별시 성동구 마장로 296 (마장동),02-2291-8275,451490.6665,203709.5901
191,한나동물병원,"서울특별시 서초구 방배로 269, 109호 (방배동)",02-595-8875,443825.9651,198845.6578
192,서초힐스동물병원,서울특별시 서초구 태봉로2길 30 (우면동),02-574-7582,439920.5571,202273.874
193,늘푸른동물병원,서울특별시 은평구 은평로 29 (신사동),388-3008,455108.6579,192071.5914
194,프렌즈동물병원,"서울특별시 서초구 방배로 76, 머리재빌딩 1층 105호 (방배동)",597-7522,442111.604,199783.0572
195,반려동물 의료센터 다울,"서울특별시 서초구 효령로 95, 우성빌딩 1층 (방배동)",02-3473-0911,442064.3655,199452.9265
196,메디펫 동물병원,서울특별시 서초구 효령로 384 (서초동),02-586-7501,442819.765,202224.045
197,헬릭스동물메디컬센터,"서울특별시 서초구 신반포로 162 (반포동, 르본시티 2층)",02-2135-9119,444741.4375,200115.1432
198,녹번동물병원,서울특별시 은평구 통일로 697 (녹번동),354-4110,456197.9272,193903.3334
199,파란종합 동물병원,서울특별시 양천구 신월로 149 (신월동),2692-8255,446160.8663,185810.0659
200,새은평동물의료센터,"서울특별시 은평구 서오릉로 80(대조동, 북한산 포레스트)",358-7566,456143.2369,193059.5369
201,사랑의동물병원,서울특별시 서초구 마방로6길 18 (양재동),02-577-7475,441406.0823,203660.1736
202,한 동물병원,서울특별시 서초구 동산로 66 (양재동),02-577-3690,441078.1766,203997.6234
203,라파엘동물병원,서울특별시 서초구 강남대로 525-3 (반포동),02-3444-7509,445173.2758,201866.2719
204,일오삼동물병원,서울특별시 양천구 지양로 52 (신월동),2606-1990,446489.3607,185337.1914
205,행복한동물병원,서울특별시 양천구 공항대로 636 (목동),2655-2258,449389.2086,188918.5354
206,상아동물병원,서울특별시 양천구 목동로 181 (신정동),2644-0069,446944.9,187943.595
207,목동 동물병원,서울특별시 양천구 목동서로 57 (목동),2648-8275,448276.1425,189311.0225
208,로얄동물암치료센터,"서울특별시 중랑구 동일로 640, 지하 2층 (면목동)",02-6215-3416,453914.6398,207017.8153
209,신당 좋아요 동물병원,"서울특별시 중구 다산로36길 83, 1층 (신당동)",02-2233-6675,450916.7052,201618.835
210,도담동물병원(출장진료전문 동물병원),"서울특별시 성동구 독서당로59길 84, 신동아아파트상가동 1층 111호 (행당동)",,450233.8783,202831.9057
211,라임동물병원,서울특별시 성동구 무학로 16 (홍익동),02-2281-8122,451473.3101,202608.8811
212,태능동물병원,"서울특별시 중랑구 동일로 920, 3층 (묵동)",973-1953,456698.4895,206780.2076
213,보람동물병원,서울특별시 중랑구 면목로 269 (면목동),434-5465,452751.1378,207505.3535
214,엔젤동물병원,서울특별시 중랑구 겸재로 187 (면목동),435-0166,454057.8376,207735.4562
215,홍상희동물병원,"서울특별시 중랑구 동일로 899, 1층 (묵동)",974-0339,456484.1665,206763.6535
216,하스펫탈동물병원,"서울특별시 중랑구 면목로 442-1, 1층 (면목동)",435-2275,454365.7472,207610.4033
217,미니주동물병원,서울특별시 양천구 목동중앙북로 37 (목동),2651-8575,449540.7811,188251.3097
218,신내동물병원,"서울특별시 중랑구 봉화산로 103, 1층 (중화동, 삼일시티빌)",3422-0001,455602.4903,207499.7213
219,진정훈동물병원,"서울특별시 중랑구 봉화산로 39-1, 유정빌딩 2층 (중화동)",2207-0073,455496.6194,206886.4766
220,성지동물병원,서울특별시 중랑구 면목로 311 (면목동),493-7582,453071.8275,207683.609
221,금란동물병원,"서울특별시 중랑구 용마산로 532, 금란동물병원 (망우동)",492-7582,455130.344,208814.1479
222,연희동물병원,서울특별시 서대문구 연희로25길 101 (연희동),332-2883,451877.1438,193930.4465
223,리즈동물병원,"서울특별시 서초구 잠원로 221, 상가동 2층 (잠원동, 한강아파트)",535-7579,446565.0287,201267.8678
224,평생피부과동물병원,"서울특별시 성동구 행당로 76, 110호 (행당동, 한진노변상가)",02-3395-0075,450401.3037,202511.1429
225,리즈동물병원,"서울특별시 양천구 목동중앙로 43 (목동,106호)",2062-1110,447929.3481,188394.9766
226,참사랑동물병원,서울특별시 양천구 목동남로4길 6-11 (신정동),2643-7882,445120.1228,188002.8358
227,금쪽같은내새끼 동물병원,서울특별시 은평구 연서로 185 (갈현동),384-7743,457005.6829,192675.4579
228,한마음동물병원,서울특별시 은평구 갈현로 35 (신사동),355-7931,455411.9348,191993.2417
229,우리덕구동물병원,"서울특별시 은평구 진관2로 77, 205동 지하1층 B104호 (진관동, 은평뉴타운우물골)",02-6953-8275,459136.5476,193537.1513
230,가든펫동물병원,"서울특별시 은평구 증산로9길 26-23, 지하1층 (증산동)",02-373-5555,453851.9654,191854.4605
231,응암동물병원,서울특별시 은평구 응암로 261 (응암동),387-6920,454775.3694,192718.9979
232,김정복동물병원,서울특별시 은평구 통일로 879 (갈현동),357-8538,457673.8779,192829.7404
233,불광동물병원,"서울특별시 은평구 통일로 767, 401동 B층 117호 (대조동, 베르디움STAY1)",356-1656,,
234,한얼동물병원,서울특별시 은평구 응암로 226 (응암동),304-5553,454418.0193,192680.9423
235,신풍동물종합병원,서울특별시 영등포구 신길로 70 (신길동),02-835-7572,444053.0069,191844.9255
236,대방동물병원,"서울특별시 영등포구 신풍로25길 13, 그레이트 빌 1층 (신길동)",833-0309,444333.0055,192854.5283
237,주연동물병원,서울특별시 중랑구 면목로 273 (면목동),2207-9931,452781.0273,207501.3139
238,진서동물병원,서울특별시 중랑구 신내로10길 7 (신내동),432-7530,455823.472,208400.7632
239,세진동물병원,서울특별시 중랑구 망우로 415(망우동),436-7311,455266.3319,208613.3314
240,숲속동물병원,"서울특별시 중랑구 겸재로 207, 1층 (면목동)",492-9303,454115.4996,207928.9113
